,Dependents,Education,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Gender_Male,Married_Yes,Self_Employed_Yes,Loan_Status_Y,Total_income
0,0,1,5849,0.0,146.41216216216216,360.0,1.0,3,1,0,0,1,5849.0
1,1,1,4583,1508.0,128.0,360.0,1.0,1,1,1,0,0,6091.0
2,0,1,3000,0.0,66.0,360.0,1.0,3,1,1,1,1,3000.0
3,0,0,2583,2358.0,120.0,360.0,1.0,3,1,1,0,1,4941.0
4,0,1,6000,0.0,141.0,360.0,1.0,3,1,0,0,1,6000.0
5,2,1,5417,4196.0,267.0,360.0,1.0,3,1,1,1,1,9613.0
6,0,0,2333,1516.0,95.0,360.0,1.0,3,1,1,0,1,3849.0
7,3,1,3036,2504.0,158.0,360.0,0.0,2,1,1,0,0,5540.0
8,2,1,4006,1526.0,168.0,360.0,1.0,3,1,1,0,1,5532.0
9,1,1,12841,10968.0,349.0,360.0,1.0,2,1,1,0,0,23809.0
10,2,1,3200,700.0,70.0,360.0,1.0,3,1,1,0,1,3900.0
11,2,1,2500,1840.0,109.0,360.0,1.0,3,1,1,0,1,4340.0
12,2,1,3073,8106.0,200.0,360.0,1.0,3,1,1,0,1,11179.0
13,0,1,1853,2840.0,114.0,360.0,1.0,1,1,0,0,0,4693.0
14,2,1,1299,1086.0,17.0,120.0,1.0,3,1,1,0,1,2385.0
15,0,1,4950,0.0,125.0,360.0,1.0,3,1,0,0,1,4950.0
16,1,0,3596,0.0,100.0,240.0,0.8421985815602837,3,1,0,0,1,3596.0
17,0,1,3510,0.0,76.0,360.0,0.0,3,0,0,0,0,3510.0
18,0,0,4887,0.0,133.0,360.0,1.0,1,1,1,0,0,4887.0
19,0,1,2600,3500.0,115.0,342.0,1.0,3,1,1,0,1,6100.0
20,0,0,7660,0.0,104.0,360.0,0.0,3,1,1,0,0,7660.0
21,1,1,5955,5625.0,315.0,360.0,1.0,3,1,1,0,1,11580.0
22,0,0,2600,1911.0,116.0,360.0,0.0,2,1,1,0,0,4511.0
23,2,0,3365,1917.0,112.0,360.0,0.0,1,1,1,0,0,5282.0
24,1,1,3717,2925.0,151.0,360.0,0.8421985815602837,2,1,1,0,0,6642.0
25,0,1,9560,0.0,191.0,360.0,1.0,2,1,1,1,1,9560.0
26,0,1,2799,2253.0,122.0,360.0,1.0,2,1,1,0,1,5052.0
27,2,0,4226,1040.0,110.0,360.0,1.0,3,1,1,0,1,5266.0
28,0,0,1442,0.0,35.0,360.0,1.0,3,1,0,0,0,1442.0
29,2,1,3750,2083.0,120.0,360.0,1.0,2,0,0,0,1,5833.0
30,1,1,4166,3369.0,201.0,360.0,0.8421985815602837,3,1,1,0,0,7535.0
31,0,1,3167,0.0,74.0,360.0,1.0,3,1,0,0,0,3167.0
32,1,1,4692,0.0,106.0,360.0,1.0,1,1,0,1,0,4692.0
33,0,1,3500,1667.0,114.0,360.0,1.0,2,1,1,0,1,5167.0
34,3,1,12500,3000.0,320.0,360.0,1.0,1,1,0,0,0,15500.0
35,0,1,2275,2067.0,146.41216216216216,360.0,1.0,3,1,1,0,1,4342.0
36,0,1,1828,1330.0,100.0,342.0,0.0,3,1,1,0,0,3158.0
37,0,1,3667,1459.0,144.0,360.0,1.0,2,0,1,0,1,5126.0
38,0,1,4166,7210.0,184.0,360.0,1.0,3,1,0,0,1,11376.0
39,0,0,3748,1668.0,110.0,360.0,1.0,2,1,0,0,1,5416.0
40,0,1,3600,0.0,80.0,360.0,1.0,3,1,0,0,0,3600.0
41,0,1,1800,1213.0,47.0,360.0,1.0,3,1,0,0,1,3013.0
42,0,1,2400,0.0,75.0,360.0,0.8421985815602837,3,1,1,0,1,2400.0
43,0,1,3941,2336.0,134.0,360.0,1.0,2,1,1,0,1,6277.0
44,0,0,4695,0.0,96.0,342.0,1.0,3,1,1,1,1,4695.0
45,0,1,3410,0.0,88.0,342.0,1.0,3,0,0,0,1,3410.0
46,1,1,5649,0.0,44.0,360.0,1.0,3,1,1,0,1,5649.0
47,0,1,5821,0.0,144.0,360.0,1.0,3,1,1,0,1,5821.0
48,0,1,2645,3440.0,120.0,360.0,0.0,3,0,1,0,0,6085.0
49,0,1,4000,2275.0,144.0,360.0,1.0,2,0,0,0,1,6275.0
50,0,0,1928,1644.0,100.0,360.0,1.0,2,0,1,0,1,3572.0
51,0,1,3086,0.0,120.0,360.0,1.0,2,0,0,0,1,3086.0
52,0,1,4230,0.0,112.0,360.0,1.0,2,0,0,0,0,4230.0
53,2,1,4616,0.0,134.0,360.0,1.0,3,1,1,0,0,4616.0
54,1,1,11500,0.0,286.0,360.0,0.0,3,0,1,1,0,11500.0
55,2,1,2708,1167.0,97.0,360.0,1.0,2,1,1,0,1,3875.0
56,0,1,2132,1591.0,96.0,360.0,1.0,2,1,1,0,1,3723.0
57,0,1,3366,2200.0,135.0,360.0,1.0,1,1,1,0,0,5566.0
58,1,1,8080,2250.0,180.0,360.0,1.0,3,1,1,0,1,10330.0
59,2,0,3357,2859.0,144.0,360.0,1.0,3,1,1,0,1,6216.0
60,0,1,2500,3796.0,120.0,360.0,1.0,3,1,1,0,1,6296.0
61,3,1,3029,0.0,99.0,360.0,1.0,3,1,1,0,1,3029.0
62,0,0,2609,3449.0,165.0,180.0,0.0,1,1,1,1,0,6058.0
63,1,1,4945,0.0,146.41216216216216,360.0,0.0,1,1,1,0,0,4945.0
64,0,1,4166,0.0,116.0,360.0,0.0,2,0,0,0,0,4166.0
65,0,1,5726,4595.0,258.0,360.0,1.0,2,1,1,0,0,10321.0
66,0,0,3200,2254.0,126.0,180.0,0.0,3,1,0,0,0,5454.0
67,1,1,10750,0.0,312.0,360.0,1.0,3,1,1,0,1,10750.0
68,3,0,7100,0.0,125.0,60.0,1.0,3,1,1,1,1,7100.0
69,0,1,4300,0.0,136.0,360.0,0.0,2,0,0,0,0,4300.0
70,0,1,3208,3066.0,172.0,360.0,1.0,3,1,1,0,1,6274.0
71,2,0,1875,1875.0,97.0,360.0,1.0,2,1,1,1,1,3750.0
72,0,1,3500,0.0,81.0,300.0,1.0,2,1,0,0,1,3500.0
73,3,0,4755,0.0,95.0,342.0,0.0,2,1,1,0,0,4755.0
74,3,1,5266,1774.0,187.0,360.0,1.0,2,1,1,1,1,7040.0
75,0,1,3750,0.0,113.0,480.0,1.0,3,1,0,0,0,3750.0
76,0,1,3750,4750.0,176.0,360.0,1.0,3,1,0,0,0,8500.0
77,1,1,1000,3022.0,110.0,360.0,1.0,3,1,1,1,0,4022.0
78,3,1,3167,4000.0,180.0,300.0,0.0,2,1,1,0,0,7167.0
79,3,0,3333,2166.0,130.0,360.0,0.8421985815602837,2,1,1,1,1,5499.0
80,0,1,3846,0.0,111.0,360.0,1.0,2,0,0,0,1,3846.0
81,1,1,2395,0.0,146.41216216216216,360.0,1.0,2,1,1,1,1,2395.0
82,2,1,1378,1881.0,167.0,360.0,1.0,3,0,1,0,0,3259.0
83,0,1,6000,2250.0,265.0,360.0,0.8421985815602837,2,1,1,0,0,8250.0
84,1,1,3988,0.0,50.0,240.0,1.0,3,1,1,0,1,3988.0
85,0,1,2366,2531.0,136.0,360.0,1.0,2,1,0,0,1,4897.0
86,2,0,3333,2000.0,99.0,360.0,0.8421985815602837,2,1,1,0,1,5333.0
